Modelo,Acurácia,Precisão Classe 1,Recall Classe 1,F1-score Classe 1
Regressão Logística Otimizada,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
KNN Otimizado,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
Árvore Otimizada,0.9122807017543859,0.8367346938775511,0.9534883720930233,0.8913043478260869
