Modelo,Acurácia Média,Precisão Média,Recall Médio,F1-score Médio
Regressão Logística,0.9736686849868033,0.9862579281183933,0.9436323366555925,0.9633408685451746
Árvore de Decisão,0.9279925477410339,0.9293530201682374,0.8778516057585826,0.8992016869942298
KNN,0.9630957925787922,0.9755244755244756,0.9245847176079736,0.9486688354886501
